Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,RNASET2,Ribonuclease T2,23106,687,2.20 [1.75-2.75],7.746741467621763e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SCARB2,Lysosome membrane protein 2,22273,659,2.05 [1.72-2.43],3.7955810358873084e-16
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SCARF2,Scavenger receptor class F member 2,23132,682,2.07 [1.65-2.59],3.4527878637829687e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SDC1,Syndecan-1,22927,681,1.74 [1.49-2.02],6.564631767293843e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SEMA3F,Semaphorin-3F,22927,681,2.04 [1.60-2.62],1.4059906628343004e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SHISA5,Protein shisa-5,19867,581,2.01 [1.67-2.43],1.9085831784978293e-13
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SIGLEC1,Sialoadhesin,23006,681,1.72 [1.48-2.00],1.2035722730037765e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SIGLEC6,Sialic acid-binding Ig-like lectin 6,23119,682,1.73 [1.43-2.09],1.9721172195059373e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SIRPB1,Signal-regulatory protein beta-1,22845,675,1.52 [1.32-1.75],4.0743389615878875e-09
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SPINK1,Serine protease inhibitor Kazal-type 1,22933,677,1.80 [1.57-2.08],2.46908136086481e-16
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SPINT1,Kunitz-type protease inhibitor 1,22847,675,2.12 [1.73-2.62],1.3811226429063044e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SPON1,Spondin-1,22926,677,1.85 [1.55-2.21],1.1413019862243132e-11
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,SPON2,Spondin-2,22820,679,2.10 [1.74-2.52],3.788581748729587e-15
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,ST6GAL1,"Beta-galactoside alpha-2,6-sialyltransferase 1",23217,688,1.71 [1.42-2.06],1.553772261347381e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TFF2,Trefoil factor 2,22973,677,1.47 [1.32-1.63],1.7597664982962962e-12
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TFF3,Trefoil factor 3,22923,680,1.65 [1.48-1.84],8.901544475837904e-20
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TGFA,Protransforming growth factor alpha,22901,679,1.52 [1.33-1.74],7.261433647574672e-10
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TGFBR2,TGF-beta receptor type-2,22980,680,1.98 [1.69-2.32],4.401987107737175e-17
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,THBD,Thrombomodulin,22927,681,1.82 [1.48-2.24],1.7659567069230678e-08
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,THBS2,Thrombospondin-2,22933,677,1.85 [1.60-2.14],1.0401943095179531e-16
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TIMP1,Metalloproteinase inhibitor 1,22704,673,2.20 [1.82-2.68],1.3488337138754729e-15
Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,TNF,Tumor necrosis factor,22482,671,1.59 [1.40-1.81],1.2925701536738065e-12
