Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CLMP,CXADR-like membrane protein,39994,1080,2.13 [1.67-2.71],1.3562386244436487e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CLNS1A,Methylosome subunit pICln,33604,909,0.76 [0.62-0.92],0.0062181224665104
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CLSTN2,Calsyntenin-2,40081,1081,1.23 [1.08-1.40],0.0019831508382976
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CNTN1,Contactin-1,40139,1088,0.69 [0.57-0.84],0.0001548236030247
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CNTN5,Contactin-5,39743,1075,0.78 [0.67-0.90],0.0009036613288861
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,CNTNAP2,Contactin-associated protein-like 2,39578,1069,1.31 [1.16-1.49],2.021515249399037e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,COL18A1,Collagen alpha-1(XVIII) chain,39800,1082,1.94 [1.55-2.43],9.446493811700122e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,COL28A1,Collagen alpha-1(XXVIII) chain,33604,909,0.89 [0.82-0.97],0.0053418756674881
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,COL4A1,Collagen alpha-1(IV) chain,39627,1078,1.34 [1.17-1.53],2.164534020138837e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,COL5A1,Collagen alpha-1(V) chain,33792,903,1.54 [1.33-1.77],5.9680409382602e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,COL6A3,Collagen alpha-3(VI) chain,40139,1088,1.63 [1.42-1.88],1.5818762255527367e-11
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,COLEC12,Collectin-12,39611,1069,1.80 [1.47-2.19],6.792549258594211e-09
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,COMP,Cartilage oligomeric matrix protein,39230,1060,0.79 [0.67-0.93],0.0052190320785334
