Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TSPAN8,Tetraspanin-8,33947,469,1.13 [1.04-1.24],0.0059560459579759
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,TYRP1,"5,6-dihydroxyindole-2-carboxylic acid oxidase",33124,457,1.24 [1.07-1.44],0.0037385924417199
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ULBP2,UL16-binding protein 2,38848,542,1.67 [1.39-2.00],2.6350850244114774e-08
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,UMOD,Uromodulin,39473,548,0.75 [0.65-0.85],1.299067350185671e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,USP28,Ubiquitin carboxyl-terminal hydrolase 28,34021,471,1.40 [1.16-1.68],0.0003995427795779
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,VCAM1,Vascular cell adhesion protein 1,39210,545,2.03 [1.57-2.64],1.061215881819371e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,VSIG2,V-set and immunoglobulin domain-containing protein 2,33936,468,2.98 [2.68-3.31],9.356438782106388e-92
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,VSIG4,V-set and immunoglobulin domain-containing protein 4,39082,540,1.82 [1.54-2.15],2.1106415869174985e-12
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,VSTM1,V-set and transmembrane domain-containing protein 1,38224,531,1.31 [1.14-1.52],0.0002424046198023
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,VWA5A,von Willebrand factor A domain-containing protein 5A,32902,453,1.15 [1.04-1.26],0.0051914426012929
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,VWC2,Brorin,38717,542,1.64 [1.36-1.97],1.7186626399102313e-07
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,WFDC2,WAP four-disulfide core domain protein 2,37127,512,2.00 [1.72-2.33],3.8796440991409527e-19
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,WNT9A,Protein Wnt-9a,38400,534,1.53 [1.20-1.95],0.0007221174574743
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,XCL1,Lymphotactin,39465,551,1.20 [1.06-1.36],0.003671732985709
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,YAP1,Transcriptional coactivator YAP1,34021,471,1.82 [1.39-2.38],1.3963947608277894e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ZBTB17,Zinc finger and BTB domain-containing protein 17,38432,534,1.35 [1.16-1.56],9.044537012031124e-05
Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,ZHX2,Zinc fingers and homeoboxes protein 2,34021,471,1.32 [1.08-1.60],0.0056063791896926
