Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastric ulcer,GALNT10,Polypeptide N-acetylgalactosaminyltransferase 10,17917,160,2.52 [1.55-4.09],0.0001922748631162
Chapter XI Diseases of the digestive system,Gastric ulcer,GAST,Gastrin,15588,129,1.63 [1.49-1.79],9.87257148180279e-26
Chapter XI Diseases of the digestive system,Gastric ulcer,GCHFR,GTP cyclohydrolase 1 feedback regulatory protein,14904,121,1.79 [1.39-2.30],7.086082087814253e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,GDF15,Growth/differentiation factor 15,18205,161,2.12 [1.73-2.61],5.854764194931701e-13
Chapter XI Diseases of the digestive system,Gastric ulcer,GFRA1,GDNF family receptor alpha-1,18123,163,3.34 [2.25-4.97],2.657084339064281e-09
Chapter XI Diseases of the digestive system,Gastric ulcer,GGT1,Glutathione hydrolase 1 proenzyme,17959,156,1.52 [1.19-1.94],0.0008491397696602
Chapter XI Diseases of the digestive system,Gastric ulcer,GGT5,Glutathione hydrolase 5 proenzyme,17835,155,2.56 [1.53-4.30],0.0003599099111385
Chapter XI Diseases of the digestive system,Gastric ulcer,GOLM2,Protein GOLM2,18140,160,3.56 [2.14-5.92],9.457163270291384e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,GPNMB,Transmembrane glycoprotein NMB,17499,158,2.33 [1.44-3.76],0.000562169872776
Chapter XI Diseases of the digestive system,Gastric ulcer,GPR37,Prosaposin receptor GPR37,17678,154,1.46 [1.17-1.81],0.000667632001925
Chapter XI Diseases of the digestive system,Gastric ulcer,GPRC5C,G-protein coupled receptor family C group 5 member C,15574,128,1.56 [1.26-1.92],3.568144379205756e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,GRN,Progranulin,17894,156,3.26 [2.14-4.95],3.2544192212976626e-08
Chapter XI Diseases of the digestive system,Gastric ulcer,GRPEL1,"GrpE protein homolog 1, mitochondrial",17917,160,1.57 [1.29-1.90],5.359804000895518e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,HAO1,Hydroxyacid oxidase 1,18143,163,1.24 [1.11-1.38],9.905753376154145e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,HAVCR1,Hepatitis A virus cellular receptor 1,18114,162,1.52 [1.28-1.81],2.5617985971551104e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,HAVCR2,Hepatitis A virus cellular receptor 2,17991,156,2.92 [2.12-4.03],6.685474327553691e-11
Chapter XI Diseases of the digestive system,Gastric ulcer,HEG1,Protein HEG homolog 1,15282,126,3.60 [2.01-6.42],1.5093768677396294e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,HGF,Hepatocyte growth factor,18188,162,2.19 [1.59-3.03],1.991859457227481e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,HIF1A,Hypoxia-inducible factor 1-alpha,15169,124,1.40 [1.16-1.68],0.0003266173444843
Chapter XI Diseases of the digestive system,Gastric ulcer,HIP1R,Huntingtin-interacting protein 1-related protein,15552,128,1.71 [1.40-2.08],9.717471041568785e-08
Chapter XI Diseases of the digestive system,Gastric ulcer,HLA-E,"HLA class I histocompatibility antigen, alpha chain E",17959,161,2.63 [1.78-3.87],1.0299621799270378e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,HNMT,Histamine N-methyltransferase,17758,155,1.70 [1.27-2.26],0.0003116808307427
Chapter XI Diseases of the digestive system,Gastric ulcer,HPGDS,Hematopoietic prostaglandin D synthase,17568,155,0.36 [0.25-0.53],1.6317896999592345e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,HSD17B14,17-beta-hydroxysteroid dehydrogenase 14,15588,129,1.57 [1.21-2.04],0.0006938347119915
Chapter XI Diseases of the digestive system,Gastric ulcer,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,17881,158,2.37 [1.57-3.57],3.86720447661872e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,HYAL1,Hyaluronidase-1,17916,157,3.49 [1.97-6.16],1.6933631610961695e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,ICAM1,Intercellular adhesion molecule 1,17930,159,2.58 [1.68-3.98],1.7015551205332353e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,15213,125,2.95 [2.11-4.12],2.3842653017655325e-10
Chapter XI Diseases of the digestive system,Gastric ulcer,IFNGR1,Interferon gamma receptor 1,18039,160,2.81 [1.74-4.54],2.434369523655936e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,IGFBP4,Insulin-like growth factor-binding protein 4,17780,155,2.04 [1.61-2.57],1.834116935544717e-09
Chapter XI Diseases of the digestive system,Gastric ulcer,IGFBP7,Insulin-like growth factor-binding protein 7,18205,161,2.25 [1.64-3.08],4.538986207991342e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,IGFBPL1,Insulin-like growth factor-binding protein-like 1,17975,160,2.16 [1.50-3.10],3.456134699115347e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,IGSF3,Immunoglobulin superfamily member 3,17917,160,1.80 [1.37-2.36],2.3025452111136137e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,IGSF8,Immunoglobulin superfamily member 8,17975,160,2.59 [1.82-3.69],1.2055375223601645e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,IL10RB,Interleukin-10 receptor subunit beta,18039,160,3.57 [2.47-5.15],1.1463362875420143e-11
Chapter XI Diseases of the digestive system,Gastric ulcer,IL12A_IL12B,Interleukin-12,17917,160,1.33 [1.12-1.57],0.0008554716843653
Chapter XI Diseases of the digestive system,Gastric ulcer,IL18BP,Interleukin-18-binding protein,18072,159,2.91 [2.02-4.20],9.468278287784313e-09
Chapter XI Diseases of the digestive system,Gastric ulcer,IL1RN,Interleukin-1 receptor antagonist protein,17926,160,1.60 [1.30-1.96],6.474977526837791e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,IL2RA,Interleukin-2 receptor subunit alpha,17853,160,2.11 [1.61-2.77],6.971409677423126e-08
Chapter XI Diseases of the digestive system,Gastric ulcer,IL4R,Interleukin-4 receptor subunit alpha,17959,161,2.35 [1.77-3.14],5.521169533109641e-09
Chapter XI Diseases of the digestive system,Gastric ulcer,IL5RA,Interleukin-5 receptor subunit alpha,17959,161,1.51 [1.21-1.88],0.0003108473409238
Chapter XI Diseases of the digestive system,Gastric ulcer,IL6,Interleukin-6,17917,160,1.40 [1.22-1.60],1.1477502381044762e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,IMMT,MICOS complex subunit MIC60,15574,128,1.70 [1.28-2.27],0.0002883496776582
Chapter XI Diseases of the digestive system,Gastric ulcer,INHBB,Inhibin beta B chain,15282,126,1.64 [1.24-2.17],0.0005209232246519
Chapter XI Diseases of the digestive system,Gastric ulcer,INHBC,Inhibin beta C chain,17991,156,2.54 [1.71-3.76],3.601638110360905e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,INSR,Insulin receptor,15169,124,4.16 [1.89-9.14],0.0003884584189548
Chapter XI Diseases of the digestive system,Gastric ulcer,ITGAV,Integrin alpha-V,18143,163,0.25 [0.11-0.54],0.0004120039902989
Chapter XI Diseases of the digestive system,Gastric ulcer,ITGBL1,Integrin beta-like protein 1,15651,127,1.85 [1.30-2.62],0.0005761434926221
Chapter XI Diseases of the digestive system,Gastric ulcer,KCTD5,BTB/POZ domain-containing protein KCTD5,15277,126,1.60 [1.23-2.08],0.0004488254388461
Chapter XI Diseases of the digestive system,Gastric ulcer,KLK11,Kallikrein-11,17852,158,1.79 [1.31-2.44],0.0002542177934915
Chapter XI Diseases of the digestive system,Gastric ulcer,KLK4,Kallikrein-4,18143,163,1.45 [1.22-1.72],3.383297143417491e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,KRT18,"Keratin, type I cytoskeletal 18",17917,160,1.58 [1.37-1.82],2.4172530071141596e-10
Chapter XI Diseases of the digestive system,Gastric ulcer,KRT19,"Keratin, type I cytoskeletal 19",17925,161,1.41 [1.18-1.69],0.0001855258272247
Chapter XI Diseases of the digestive system,Gastric ulcer,KRT8,"Keratin, type II cytoskeletal 8",15140,126,1.35 [1.18-1.54],1.3602060751347556e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,17949,160,1.89 [1.46-2.47],2.037659161808839e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,LAMP3,Lysosome-associated membrane glycoprotein 3,18155,162,1.63 [1.27-2.09],0.0001285593665934
Chapter XI Diseases of the digestive system,Gastric ulcer,LAYN,Layilin,17811,155,2.20 [1.59-3.05],1.7012854380040385e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,LEP,Leptin,17975,160,1.42 [1.16-1.75],0.000887831215073
Chapter XI Diseases of the digestive system,Gastric ulcer,LETM1,Mitochondrial proton/calcium exchanger protein,15606,129,1.57 [1.21-2.03],0.0006196827508012
Chapter XI Diseases of the digestive system,Gastric ulcer,LGALS3,Galectin-3,18038,161,2.41 [1.55-3.76],9.401280932423534e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,LGALS3BP,Galectin-3-binding protein,15642,129,2.44 [1.67-3.57],4.286262352003105e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,LGALS4,Galectin-4,17949,160,1.98 [1.59-2.46],7.173195426045561e-10
Chapter XI Diseases of the digestive system,Gastric ulcer,LGALS9,Galectin-9,17953,160,3.13 [2.14-4.57],4.314791126016846e-09
Chapter XI Diseases of the digestive system,Gastric ulcer,LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,17952,160,2.41 [1.59-3.63],2.890515917210001e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,17668,159,1.90 [1.42-2.54],1.6252678486863524e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,LIPF,Gastric triacylglycerol lipase,15214,123,1.77 [1.39-2.24],2.5103165515736776e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,LMNB2,Lamin-B2,15588,129,2.94 [1.94-4.45],3.340481770597555e-07
