Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC1A4,Neutral amino acid transporter A,21959,124,1.03 [0.75-1.42],0.8442776998762107
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC27A4,Long-chain fatty acid transport protein 4,25259,140,1.14 [0.93-1.39],0.2076171774486357
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC28A1,Sodium/nucleoside cotransporter 1,21758,122,1.00 [0.75-1.33],0.986145099700922
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC34A3,Sodium-dependent phosphate transport protein 2C,21758,122,1.09 [0.78-1.51],0.6195897114762006
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC39A14,Zinc transporter ZIP14,25259,140,1.04 [0.66-1.63],0.8810630287241914
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC39A5,Zinc transporter ZIP5,25851,142,1.22 [0.97-1.52],0.0921324831167647
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC44A4,Choline transporter-like protein 4,21959,124,1.03 [0.81-1.31],0.7954658473708609
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC4A1,Band 3 anion transport protein,22574,127,0.67 [0.46-0.97],0.0332315878181645
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC51B,Organic solute transporter subunit beta,21856,113,0.85 [0.66-1.09],0.200894621474869
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC9A3R1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,22091,126,1.31 [1.08-1.60],0.007034041367122
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLC9A3R2,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,22460,126,0.97 [0.69-1.36],0.8635456026084262
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLIRP,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",21758,122,1.32 [1.04-1.66],0.0222054081814094
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLIT2,Slit homolog 2 protein,25259,140,1.14 [0.87-1.49],0.3529622396998592
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLITRK1,SLIT and NTRK-like protein 1,21938,122,0.77 [0.44-1.33],0.3461451036314408
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLITRK2,SLIT and NTRK-like protein 2,26110,142,0.89 [0.60-1.31],0.5523671609114433
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLITRK6,SLIT and NTRK-like protein 6,25414,136,0.93 [0.59-1.46],0.7519219165342224
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLK,STE20-like serine/threonine-protein kinase,22159,126,0.84 [0.65-1.09],0.2013399739215189
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLMAP,Sarcolemmal membrane-associated protein,22460,126,1.21 [1.00-1.47],0.0557713675851271
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SLURP1,Secreted Ly-6/uPAR-related protein 1,22402,127,0.75 [0.45-1.24],0.2629097478012268
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMAD1,Mothers against decapentaplegic homolog 1,25275,135,1.11 [0.92-1.34],0.2618527742749399
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMAD2,Mothers against decapentaplegic homolog 2,22456,127,1.30 [1.03-1.64],0.0268950258105315
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMAD3,Mothers against decapentaplegic homolog 3,22456,127,1.55 [1.14-2.10],0.00509829604421
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMAD5,Mothers against decapentaplegic homolog 5,25777,141,1.12 [0.54-2.33],0.7555107865774718
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMARCA2,Probable global transcription activator SNF2L2,25259,140,1.12 [0.92-1.36],0.2736336408562654
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMC3,Structural maintenance of chromosomes protein 3,21758,122,1.17 [0.89-1.54],0.2486674846761387
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SMNDC1,Survival of motor neuron-related-splicing factor 30,22460,126,1.19 [0.95-1.50],0.1350723234574506
