Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,AP3S2,AP-3 complex subunit sigma-2,16841,519,1.03 [0.86-1.23],0.7615551574654555
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,19270,601,0.94 [0.79-1.10],0.4360106389702025
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APCS,Serum amyloid P-component,16748,516,1.17 [0.92-1.49],0.1956620492794142
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APEX1,DNA-(apurinic or apyrimidinic site) endonuclease,19470,602,0.92 [0.81-1.04],0.1684394277826087
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APLP1,Amyloid-like protein 1,19363,609,0.90 [0.78-1.03],0.1183232866024301
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APOA1,Apolipoprotein A-I,16909,520,0.94 [0.69-1.28],0.6882360466697235
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APOA2,Apolipoprotein A-II,16888,517,1.05 [0.88-1.25],0.5686633595233714
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APOA4,Apolipoprotein A-IV,16909,520,1.14 [0.92-1.42],0.223733923641675
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APOB,Apolipoprotein B-100,16888,517,0.72 [0.51-1.02],0.0623191592682915
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APOBR,Apolipoprotein B receptor,16444,498,1.03 [0.84-1.26],0.8074690348439012
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APOC1,Apolipoprotein C-I,16872,518,1.02 [0.81-1.28],0.893593444192119
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APOD,Apolipoprotein D,16096,495,0.95 [0.77-1.17],0.5995112892322796
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APOE,Apolipoprotein E,16909,520,0.94 [0.83-1.07],0.3402639698569859
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APOF,Apolipoprotein F,16888,517,1.04 [0.76-1.41],0.8144816483004824
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Meniscus derangement,APOH,Beta-2-glycoprotein 1,19349,603,1.33 [1.10-1.61],0.0029969693625928
