Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,13446,92,1.31 [1.04-1.65],0.0205125715599093
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AHSG,Alpha-2-HS-glycoprotein,13510,90,2.06 [0.97-4.37],0.0588842656084535
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AHSP,Alpha-hemoglobin-stabilizing protein,15533,106,1.09 [0.89-1.35],0.4059653798085433
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AIDA,"Axin interactor, dorsalization-associated protein",13124,89,1.19 [0.98-1.45],0.087280404103288
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AIF1,Allograft inflammatory factor 1,15203,101,1.22 [0.88-1.69],0.2400575055024306
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AIF1L,Allograft inflammatory factor 1-like,13113,87,1.01 [0.69-1.47],0.959688966652467
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AIFM1,"Apoptosis-inducing factor 1, mitochondrial",15455,105,1.10 [0.93-1.29],0.2581541675554875
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AK1,Adenylate kinase isoenzyme 1,15548,104,1.34 [1.04-1.73],0.0254794108596224
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AK2,"Adenylate kinase 2, mitochondrial",13456,92,1.14 [0.95-1.37],0.1720348758753234
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AKAP12,A-kinase anchor protein 12,13189,86,0.95 [0.34-2.62],0.9195305553365296
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AKR1B1,Aldo-keto reductase family 1 member B1,15203,101,1.06 [0.83-1.34],0.654917530942821
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AKR1B10,Aldo-keto reductase family 1 member B10,13124,89,1.25 [0.95-1.66],0.1088955529454647
Chapter X Diseases of the respiratory system,Allergic asthma (mode),AKR1C4,Aldo-keto reductase family 1 member C4,15277,102,1.32 [1.02-1.70],0.0325820197550078
