Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,THRAP3,Thyroid hormone receptor-associated protein 3,16308,197,1.08 [0.96-1.20],0.1958201370290886
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,THSD1,Thrombospondin type-1 domain-containing protein 1,16263,198,0.84 [0.55-1.27],0.405109783914887
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,THTPA,Thiamine-triphosphatase,16785,202,1.10 [0.94-1.29],0.222609220487411
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,THY1,Thy-1 membrane glycoprotein,19482,259,0.82 [0.56-1.21],0.3236934643120153
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TIA1,Nucleolysin TIA-1 isoform p40,18723,244,1.06 [0.97-1.17],0.1983416806195472
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TIE1,Tyrosine-protein kinase receptor Tie-1,19570,260,0.97 [0.75-1.26],0.847383975968888
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TIGAR,"Fructose-2,6-bisphosphatase TIGAR",18859,250,1.00 [0.79-1.27],0.992712748928542
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TIGIT,T-cell immunoreceptor with Ig and ITIM domains,16582,200,0.73 [0.49-1.08],0.115538061764704
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TIMD4,T-cell immunoglobulin and mucin domain-containing protein 4,19437,260,1.13 [0.88-1.45],0.3478379366534209
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TIMM10,Mitochondrial import inner membrane translocase subunit Tim10,16876,204,1.06 [0.76-1.48],0.7265622736717756
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TIMM8A,Mitochondrial import inner membrane translocase subunit Tim8 A,16859,198,1.06 [0.90-1.24],0.500735925126019
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TIMP1,Metalloproteinase inhibitor 1,19146,260,0.69 [0.46-1.04],0.0762381494258763
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,TIMP2,Metalloproteinase inhibitor 2,16876,204,0.80 [0.44-1.45],0.4643628971467217
