Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD274,Programmed cell death 1 ligand 1,45890,4396,1.26 [1.17-1.36],1.0900452840593755e-09
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD276,CD276 antigen,46223,4448,1.11 [1.03-1.19],0.008021045284919
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD28,T-cell-specific surface glycoprotein CD28,45179,4338,1.11 [1.03-1.19],0.0056181063617086
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD2AP,CD2-associated protein,46226,4447,1.01 [0.97-1.05],0.6546186319303202
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD300A,CMRF35-like molecule 8,39316,3732,1.18 [1.06-1.31],0.0018703336161125
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD300C,CMRF35-like molecule 6,46644,4483,1.21 [1.12-1.30],1.089559625239365e-06
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD300E,CMRF35-like molecule 2,46489,4456,1.31 [1.23-1.40],9.19663363319524e-17
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD300LF,CMRF35-like molecule 1,46642,4473,1.10 [1.05-1.15],6.275410474196082e-05
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD300LG,CMRF35-like molecule 9,46237,4450,0.99 [0.92-1.06],0.749930725573315
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD302,CD302 antigen,46038,4411,1.45 [1.33-1.58],5.097177163264841e-18
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD33,Myeloid cell surface antigen CD33,46391,4474,1.00 [0.97-1.03],0.8762587742241679
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD34,Hematopoietic progenitor cell antigen CD34,46496,4464,0.79 [0.71-0.88],3.1440862392082514e-05
Chapter XI Diseases of the digestive system,Diaphragmatic hernia,CD36,Platelet glycoprotein 4,39057,3704,1.14 [1.07-1.22],0.0001404044271668
