Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CDCP1,CUB domain-containing protein 1,25781,56,4.68 [3.44-6.38],1.2753041455336635e-22
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CDH1,Cadherin-1,25097,54,2.13 [1.48-3.08],5.038463909770692e-05
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CDH2,Cadherin-2,25954,56,2.23 [1.17-4.24],0.0144339475534293
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CDH3,Cadherin-3,26180,57,2.80 [1.73-4.51],2.5770037005320566e-05
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CDH6,Cadherin-6,25954,56,1.83 [1.02-3.30],0.0439296763084085
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CEACAM20,Carcinoembryonic antigen-related cell adhesion molecule 20,22159,52,1.55 [1.03-2.34],0.0358059279106985
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,25032,51,1.94 [1.53-2.47],7.455712208159368e-08
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,22584,54,7.90 [5.53-11.29],8.520681077315906e-30
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CEACAM8,Carcinoembryonic antigen-related cell adhesion molecule 8,25484,57,1.71 [1.16-2.52],0.0063502515951287
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CEBPA,CCAAT/enhancer-binding protein alpha,21951,54,1.72 [1.19-2.50],0.004029025801295
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CELA3A,Chymotrypsin-like elastase family member 3A,26228,56,1.62 [1.10-2.40],0.0149434412512319
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CEND1,Cell cycle exit and neuronal differentiation protein 1,21853,52,1.38 [1.03-1.85],0.0319520949185806
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CFD,Complement factor D,22629,54,3.44 [1.31-8.98],0.0117933382807075
Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,CHAD,Chondroadherin,22109,54,0.51 [0.33-0.79],0.0026085194902568
