Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,MCEE,"Methylmalonyl-CoA epimerase, mitochondrial",31555,0.0489838866045325,0.051417453569951,-0.0517943223925714,0.149762095601636,0.340787012884126
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,RNASE10,Inactive ribonuclease-like protein 10,31388,0.054578091996785,0.057403199369802,-0.057932178768027,0.167088362761597,0.341744131010217
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,DTNB,Dystrobrevin beta,31536,-0.0517125616219509,0.0544005282940405,-0.15833759707827,0.0549124738343684,0.341842816899948
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,BDNF,Brain-derived neurotrophic factor,31571,0.0951268412958039,0.100103048438058,-0.10107513364279,0.291328816234398,0.341995130888687
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,HIP1R,Huntingtin-interacting protein 1-related protein,31537,0.049811275133091,0.0524409755768344,-0.0529730369975044,0.152595587263686,0.342216297757624
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,INHBB,Inhibin beta B chain,31417,-0.0572396133974653,0.0602686496000131,-0.175366166613491,0.0608869398185603,0.342274193471101
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,CD40,Tumor necrosis factor receptor superfamily member 5,32708,0.0584729939200685,0.0616258210346604,-0.0623136153078658,0.179259603148003,0.342728322353803
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,CDC123,Cell division cycle protein 123 homolog,31326,-0.0738564012637753,0.0778510721385561,-0.226444502655345,0.0787317001277947,0.3428098724711
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,SNX9,Sorting nexin-9,32729,0.0803282701636551,0.0847268588477349,-0.0857363731779053,0.246392913505215,0.343111978105236
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,DOK2,Docking protein 2,32729,0.143619744489463,0.151570397796402,-0.153458235191484,0.440697724170411,0.343387047542703
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,FCRL6,Fc receptor-like protein 6,32728,-0.0754020786148271,0.0796151363784827,-0.231447745916653,0.0806435886869989,0.343622699324621
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,SCARB2,Lysosome membrane protein 2,32479,-0.0315778480712129,0.0333493287247116,-0.0969425323716477,0.0337868362292219,0.343725930276629
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,CNDP1,Beta-Ala-His dipeptidase,32754,-0.053005042626311,0.0560247061732088,-0.1628134667258,0.0568033814731784,0.344122666049405
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,PDCD5,Programmed cell death protein 5,32806,0.0676134743441024,0.0714993556755889,-0.0725252627800518,0.207752211468257,0.34435189764345
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,TGFB2,Transforming growth factor beta-2 proprotein,31548,0.0606784243913635,0.0642114877393478,-0.0651760915777582,0.186532940360485,0.344699954858265
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,CTSV,Cathepsin L2,32758,-0.0478603020754531,0.0506552071140958,-0.147144508019081,0.0514239038681748,0.344773920912941
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,BTN3A2,Butyrophilin subfamily 3 member A2,32728,0.0416474597597687,0.0440824985159838,-0.0447542373315595,0.128049156851097,0.344806247841774
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,RNASE1,Ribonuclease pancreatic,31586,-0.0255989129830251,0.0271004149919673,-0.078715726367281,0.0275179004012308,0.344895285293589
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,BLNK,B-cell linker protein,31355,0.0463938585337084,0.0491149994490403,-0.0498715403864106,0.142659257453827,0.344895343006792
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,SEMA4D,Semaphorin-4D,32806,0.0341497697925812,0.0361750057979183,-0.0367532415713386,0.105052781156501,0.345187170448988
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,CCL8,C-C motif chemokine 8,32785,0.0710029093934038,0.0753357439942978,-0.07665514883542,0.218660967622228,0.345969213309625
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,HMBS,Porphobilinogen deaminase,32794,0.0507592832742073,0.0538778994150766,-0.0548413995793428,0.156359966127757,0.346158231819443
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,32647,0.0475899015328167,0.0505353866353202,-0.051459456272411,0.146639259338044,0.346364766715556
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,DBNL,Drebrin-like protein,32756,0.106987884161165,0.113610028585982,-0.11568777186736,0.329663540189691,0.346365875022664
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,FYB1,FYN-binding protein 1,32706,0.1045861351897,0.111080598673637,-0.113131838210628,0.322304108590029,0.346457100935064
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,MATN2,Matrilin-2,32721,0.0342024828434714,0.036342862009004,-0.0370295266941764,0.105434492381119,0.346676233287112
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ITGB7,Integrin beta-7,32794,-0.0533181397332092,0.0566753993006467,-0.164401922362477,0.0577656428960584,0.346851570810319
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,ELOA,Elongin-A,32668,-0.0623705344254339,0.0663094296240059,-0.192337016488485,0.0675959476376176,0.346936566142985
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,31456,0.0445346217194195,0.0474116236767028,-0.0483921606869181,0.137461404125757,0.347597040011397
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,SLITRK2,SLIT and NTRK-like protein 2,32794,-0.0449521808857303,0.0480282182148182,-0.139087488586774,0.0491831268153134,0.349322406984591
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,PLEKHO1,Pleckstrin homology domain-containing family O member 1,31548,0.0786264913943343,0.0840169969727423,-0.0860468226722405,0.243299805460909,0.349384814652299
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,BTNL10,Butyrophilin-like protein 10,31326,0.0428370284450727,0.0458190249287419,-0.0469682604152614,0.132642317305407,0.349860827159778
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,TF,Serotransferrin,31598,-0.024808194451101,0.0265390504379556,-0.0768247333094938,0.0272083444072919,0.349930452503587
Mental health,X29051#2.Manifestations of mania or irritability_More confident than usual,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,32655,-0.0280750533750158,0.0300486795872698,-0.0869704653660646,0.030820358616033,0.350164997694834
