Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Bronchiectasis,LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,Inverse variance weighted,30,1.02 [0.83-1.26],0.838386159276516
Chapter X Diseases of the respiratory system,Bronchiectasis,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",Inverse variance weighted,4,1.23 [0.84-1.78],0.286431287538417
Chapter X Diseases of the respiratory system,Bronchiectasis,IL18R1,Interleukin-18 receptor 1,Inverse variance weighted,66,1.02 [0.95-1.09],0.646731799597899
Chapter X Diseases of the respiratory system,Bronchiectasis,PDCD1,Programmed cell death protein 1,Inverse variance weighted,24,0.82 [0.67-0.99],0.039647713894645
Chapter X Diseases of the respiratory system,Bronchiectasis,CD300LF,CMRF35-like molecule 1,Inverse variance weighted,35,0.95 [0.87-1.03],0.221320109340818
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,Inverse variance weighted,17,1.05 [0.90-1.23],0.537149930988404
Chapter X Diseases of the respiratory system,Bronchiectasis,PGF,Placenta growth factor,Inverse variance weighted,8,0.82 [0.53-1.28],0.379794389831044
Chapter X Diseases of the respiratory system,Bronchiectasis,OSM,Oncostatin-M,Inverse variance weighted,7,0.96 [0.61-1.52],0.866035376089609
Chapter X Diseases of the respiratory system,Bronchiectasis,CXCL17,C-X-C motif chemokine 17,Inverse variance weighted,8,1.02 [0.64-1.63],0.918565948220238
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,Inverse variance weighted,5,1.06 [0.50-2.25],0.872942060224283
Chapter X Diseases of the respiratory system,Bronchiectasis,BCAT1,"Branched-chain-amino-acid aminotransferase, cytosolic",Inverse variance weighted,21,0.93 [0.80-1.07],0.283593270849965
Chapter X Diseases of the respiratory system,Bronchiectasis,CD72,B-cell differentiation antigen CD72,Inverse variance weighted,13,1.17 [0.88-1.56],0.273401261084721
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFRSF10A,Tumor necrosis factor receptor superfamily member 10A,Inverse variance weighted,29,1.00 [0.89-1.12],0.970417268261109
Chapter X Diseases of the respiratory system,Bronchiectasis,IGSF8,Immunoglobulin superfamily member 8,Inverse variance weighted,6,0.92 [0.67-1.26],0.600401519928581
Chapter X Diseases of the respiratory system,Bronchiectasis,SEMA7A,Semaphorin-7A,Inverse variance weighted,25,1.04 [0.86-1.26],0.681021673601185
Chapter X Diseases of the respiratory system,Bronchiectasis,ENPP6,Glycerophosphocholine cholinephosphodiesterase ENPP6,Inverse variance weighted,23,0.95 [0.84-1.06],0.365821868460042
Chapter X Diseases of the respiratory system,Bronchiectasis,IL6,Interleukin-6,Inverse variance weighted,6,0.95 [0.73-1.24],0.713008175703853
Chapter X Diseases of the respiratory system,Bronchiectasis,SPON2,Spondin-2,Inverse variance weighted,8,0.91 [0.73-1.14],0.421361576235798
Chapter X Diseases of the respiratory system,Bronchiectasis,HGF,Hepatocyte growth factor,Inverse variance weighted,7,0.99 [0.64-1.53],0.957798780384627
Chapter X Diseases of the respiratory system,Bronchiectasis,IGLC2,Immunoglobulin lambda constant 2,Inverse variance weighted,14,0.89 [0.72-1.10],0.263885666079156
Chapter X Diseases of the respiratory system,Bronchiectasis,BRK1,Protein BRICK1,Inverse variance weighted,10,0.96 [0.74-1.25],0.767262740686147
Chapter X Diseases of the respiratory system,Bronchiectasis,ACVRL1,Serine/threonine-protein kinase receptor R3,Inverse variance weighted,16,1.00 [0.85-1.18],0.99580329252471
Chapter X Diseases of the respiratory system,Bronchiectasis,FABP4,"Fatty acid-binding protein, adipocyte",Inverse variance weighted,2,0.90 [0.38-2.10],0.805646478318611
Chapter X Diseases of the respiratory system,Bronchiectasis,NMI,N-myc-interactor,Inverse variance weighted,30,1.06 [0.93-1.21],0.356746554471523
Chapter X Diseases of the respiratory system,Bronchiectasis,TNFRSF6B,Tumor necrosis factor receptor superfamily member 6B,Inverse variance weighted,26,1.10 [0.97-1.26],0.147259950290309
Chapter X Diseases of the respiratory system,Bronchiectasis,NECTIN4,Nectin-4,Inverse variance weighted,12,0.93 [0.77-1.12],0.451001533301613
