Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30150.Eosinophill count,47650,0.0387161587968668,0.00333407066457536,0.0321813802942991,0.0452509372994345,4.35174280604517e-31
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30160.Basophill count,47650,0.269917778235287,0.0271932212035034,0.21661906467642,0.323216491794153,3.57184255228499e-23
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30170.Nucleated red blood cell count,47650,0.288883576024129,0.112829628055883,0.0677375050345984,0.510029647013659,0.0104628902606608
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30180.Lymphocyte percentage,47650,-0.022270436453491,0.00334524197896558,-0.0288271107322635,-0.0157137621747185,2.85041200135257e-11
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30190.Monocyte percentage,47650,-0.0145889834421374,0.00339861014568238,-0.0212502593276749,-0.00792770755659996,1.77283314979012e-05
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30200.Neutrophill percentage,47650,0.0210733759410844,0.00331775826635043,0.0145705697390376,0.0275761821431313,2.16910971224582e-10
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30210.Eosinophill percentage,47650,0.0103477060314411,0.00330178508591318,0.00387620726305126,0.0168192047998309,0.00172671478381807
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30220.Basophill percentage,47650,-0.0139017735372419,0.00316150414964368,-0.0200983216705435,-0.00770522540394026,1.10142581030224e-05
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30230.Nucleated red blood cell percentage,47650,0.287740495211372,0.11281337530219,0.0666262796190793,0.508854710803664,0.0107604883632156
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30240.Reticulocyte percentage,47246,0.024261440873888,0.00348256200435035,0.0174356193453613,0.0310872624024147,3.3364815891615e-12
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30250.Reticulocyte count,47246,0.0280854871280811,0.00359741276136743,0.0210345581158009,0.0351364161403612,6.10119765379284e-15
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30260.Mean reticulocyte volume,47246,-0.0150552855841765,0.00332466651133765,-0.0215716319463983,-0.00853893922195473,5.9744356305556e-06
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30270.Mean sphered cell volume,47246,-0.0148077136591382,0.00336443031004543,-0.0214019970668272,-0.00821343025144915,1.08115532354807e-05
LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Blood and urine assays,X30280.Immature reticulocyte fraction,47246,0.0155228937011522,0.00352339546721493,0.0086170385854109,0.0224287488168934,1.05941405455587e-05
